"occurrence","plot_number","replicate","entry_id","entry_type","field_row","field_col"
1,167,1,"54","test",7,9
1,168,1,"100","test",8,9
1,169,5,"125","check",9,9
1,170,1,"85","test",10,9
1,171,2,"33","test",11,9
1,172,1,"79","test",12,9
1,173,1,"143","test",13,9
1,174,1,"24","test",14,9
1,175,1,"18","test",15,9
1,176,5,"29","check",16,9
1,177,1,"39","test",17,9
1,178,2,"75","test",18,9
1,179,2,"57","test",19,9
1,180,1,"140","test",20,9
1,181,1,"43","test",1,10
1,182,2,"25","test",2,10
1,183,1,"31","test",3,10
1,184,1,"41","test",4,10
1,185,2,"81","test",5,10
1,186,1,"12","test",6,10
1,187,2,"93","test",7,10
1,188,1,"124","test",8,10
1,189,1,"58","test",9,10
1,190,2,"30","test",10,10
1,191,1,"37","test",11,10
1,192,1,"127","test",12,10
1,193,5,"7","check",13,10
1,194,1,"107","test",14,10
1,195,2,"63","test",15,10
1,196,1,"78","test",16,10
1,197,1,"76","test",17,10
1,198,2,"24","test",18,10
1,199,1,"146","test",19,10
1,200,2,"27","test",20,10
2,1,1,"29","check",1,1
2,2,1,"37","test",2,1
2,3,1,"146","test",3,1
2,4,1,"110","test",4,1
2,5,1,"145","test",5,1
2,6,1,"93","test",6,1
2,7,1,"79","test",7,1
2,8,1,"2","test",8,1
2,9,1,"134","test",9,1
2,10,1,"59","test",10,1
2,11,1,"137","test",11,1
2,12,1,"86","test",12,1
2,13,1,"52","test",13,1
2,14,1,"130","test",14,1
2,15,1,"142","test",15,1
2,16,1,"55","test",16,1
2,17,1,"144","test",17,1
2,18,1,"24","test",18,1
2,19,1,"135","test",19,1
2,20,1,"138","test",20,1
2,21,1,"117","test",1,2
2,22,1,"20","test",2,2
2,23,1,"73","test",3,2
2,24,1,"35","test",4,2
2,25,1,"113","test",5,2
2,26,1,"61","test",6,2
2,27,1,"25","test",7,2
2,28,1,"60","test",8,2
2,29,1,"129","check",9,2
2,30,1,"69","test",10,2
2,31,1,"148","check",11,2
2,32,1,"140","test",12,2
2,33,1,"75","test",13,2
2,34,1,"67","test",14,2
2,35,1,"115","test",15,2
2,36,1,"41","test",16,2
2,37,1,"66","test",17,2
2,38,1,"54","test",18,2
2,39,2,"137","test",19,2
2,40,1,"89","test",20,2
2,41,1,"126","test",1,3
2,42,2,"129","check",2,3
2,43,1,"44","test",3,3
2,44,1,"68","test",4,3
2,45,1,"81","test",5,3
2,46,1,"97","test",6,3
2,47,2,"29","check",7,3
2,48,1,"76","test",8,3
2,49,1,"91","test",9,3
2,50,2,"89","test",10,3
2,51,1,"111","test",11,3
2,52,1,"105","test",12,3
2,53,1,"74","test",13,3
2,54,1,"16","test",14,3
2,55,1,"70","test",15,3
2,56,1,"90","test",16,3
2,57,1,"7","check",17,3
2,58,1,"107","test",18,3
2,59,1,"104","test",19,3
2,60,2,"25","test",20,3
2,61,2,"93","test",1,4
2,62,1,"36","test",2,4
2,63,2,"148","check",3,4
2,64,1,"116","test",4,4
2,65,1,"18","test",5,4
2,66,1,"10","test",6,4
2,67,1,"48","test",7,4
2,68,1,"22","test",8,4
2,69,1,"92","test",9,4
2,70,2,"55","test",10,4
2,71,1,"72","test",11,4
2,72,1,"125","check",12,4
2,73,1,"11","test",13,4
2,74,1,"28","test",14,4
2,75,1,"12","test",15,4
2,76,2,"7","check",16,4
2,77,1,"34","test",17,4
2,78,1,"94","test",18,4
2,79,1,"30","test",19,4
2,80,1,"32","test",20,4
2,81,1,"122","test",1,5
2,82,2,"81","test",2,5
2,83,1,"64","test",3,5
2,84,1,"8","test",4,5
2,85,2,"125","check",5,5
2,86,1,"17","test",6,5
2,87,2,"115","test",7,5
2,88,1,"1","test",8,5
2,89,1,"9","test",9,5
2,90,2,"28","test",10,5
2,91,1,"114","test",11,5
2,92,1,"88","test",12,5
2,93,3,"29","check",13,5
2,94,1,"103","test",14,5
2,95,3,"148","check",15,5
2,96,1,"6","test",16,5
2,97,1,"121","test",17,5
2,98,2,"59","test",18,5
2,99,1,"133","test",19,5
2,100,1,"83","test",20,5
2,101,1,"33","test",1,6
2,102,1,"123","test",2,6
2,103,1,"80","test",3,6
2,104,3,"7","check",4,6
2,105,1,"71","test",5,6
2,106,2,"130","test",6,6
2,107,1,"39","test",7,6
2,108,3,"129","check",8,6
2,109,2,"2","test",9,6
2,110,1,"31","test",10,6
2,111,2,"75","test",11,6
2,112,1,"21","test",12,6
2,113,2,"83","test",13,6
2,114,1,"62","test",14,6
2,115,1,"119","test",15,6
2,116,1,"56","test",16,6
2,117,4,"29","check",17,6
2,118,1,"5","test",18,6
2,119,1,"40","test",19,6
2,120,1,"141","test",20,6
2,121,1,"63","test",1,7
2,122,2,"16","test",2,7
2,123,2,"92","test",3,7
2,124,2,"141","test",4,7
2,125,1,"84","test",5,7
2,126,1,"43","test",6,7
2,127,1,"38","test",7,7
2,128,1,"77","test",8,7
2,129,2,"33","test",9,7
2,130,1,"13","test",10,7
2,131,1,"45","test",11,7
2,132,1,"58","test",12,7
2,133,1,"57","test",13,7
2,134,2,"35","test",14,7
2,135,1,"150","test",15,7
2,136,2,"30","test",16,7
2,137,1,"4","test",17,7
2,138,1,"132","test",18,7
2,139,4,"148","check",19,7
2,140,1,"95","test",20,7
2,141,1,"124","test",1,8
2,142,1,"46","test",2,8
2,143,2,"38","test",3,8
2,144,1,"102","test",4,8
2,145,5,"148","check",5,8
2,146,1,"120","test",6,8
2,147,1,"51","test",7,8
2,148,2,"24","test",8,8
2,149,1,"136","test",9,8
2,150,1,"131","test",10,8
2,151,1,"50","test",11,8
2,152,4,"7","check",12,8
2,153,1,"109","test",13,8
2,154,1,"65","test",14,8
2,155,1,"19","test",15,8
2,156,1,"127","test",16,8
2,157,4,"129","check",17,8
2,158,3,"125","check",18,8
2,159,1,"23","test",19,8
2,160,1,"82","test",20,8
2,161,1,"99","test",1,9
2,162,2,"57","test",2,9
2,163,1,"53","test",3,9
2,164,1,"27","test",4,9
2,165,1,"149","test",5,9
2,166,5,"7","check",6,9
2,167,2,"50","test",7,9
2,168,1,"49","test",8,9
2,169,1,"112","test",9,9
2,170,5,"29","check",10,9
2,171,1,"87","test",11,9
2,172,1,"26","test",12,9
2,173,4,"125","check",13,9
2,174,1,"143","test",14,9
2,175,1,"128","test",15,9
2,176,1,"139","test",16,9
2,177,2,"51","test",17,9
2,178,1,"101","test",18,9
2,179,1,"118","test",19,9
2,180,1,"85","test",20,9
2,181,5,"125","check",1,10
2,182,1,"96","test",2,10
2,183,1,"42","test",3,10
2,184,1,"108","test",4,10
2,185,2,"19","test",5,10
2,186,1,"3","test",6,10
2,187,1,"78","test",7,10
2,188,1,"14","test",8,10
2,189,2,"27","test",9,10
2,190,1,"100","test",10,10
2,191,2,"10","test",11,10
2,192,1,"98","test",12,10
2,193,1,"15","test",13,10
2,194,2,"118","test",14,10
2,195,5,"129","check",15,10
2,196,1,"147","test",16,10
2,197,1,"106","test",17,10
2,198,1,"47","test",18,10
2,199,2,"63","test",19,10
2,200,2,"73","test",20,10
3,1,1,"89","test",1,1
3,2,1,"103","test",2,1
3,3,1,"34","test",3,1
3,4,1,"92","test",4,1
3,5,1,"121","test",5,1
3,6,1,"125","check",6,1
3,7,1,"31","test",7,1
3,8,1,"13","test",8,1
3,9,1,"57","test",9,1
3,10,1,"150","test",10,1
3,11,1,"145","test",11,1
3,12,1,"73","test",12,1
3,13,1,"70","test",13,1
3,14,1,"124","test",14,1
3,15,1,"81","test",15,1
3,16,1,"25","test",16,1
3,17,1,"72","test",17,1
3,18,1,"48","test",18,1
3,19,1,"97","test",19,1
3,20,1,"118","test",20,1
3,21,1,"19","test",1,2
3,22,1,"147","test",2,2
3,23,1,"29","check",3,2
3,24,1,"110","test",4,2
3,25,1,"80","test",5,2
3,26,1,"126","test",6,2
3,27,1,"59","test",7,2
3,28,2,"29","check",8,2
3,29,1,"104","test",9,2
3,30,1,"115","test",10,2
3,31,1,"6","test",11,2
3,32,1,"131","test",12,2
3,33,2,"125","check",13,2
3,34,1,"14","test",14,2
3,35,1,"43","test",15,2
3,36,1,"141","test",16,2
3,37,1,"111","test",17,2
3,38,1,"93","test",18,2
3,39,1,"50","test",19,2
3,40,1,"79","test",20,2
3,41,1,"143","test",1,3
3,42,1,"7","check",2,3
3,43,1,"98","test",3,3
3,44,2,"57","test",4,3
3,45,1,"35","test",5,3
3,46,1,"139","test",6,3
3,47,1,"8","test",7,3
3,48,1,"99","test",8,3
3,49,2,"81","test",9,3
3,50,2,"93","test",10,3
3,51,1,"83","test",11,3
3,52,1,"76","test",12,3
3,53,1,"127","test",13,3
3,54,1,"140","test",14,3
3,55,3,"29","check",15,3
3,56,1,"39","test",16,3
3,57,1,"16","test",17,3
3,58,2,"141","test",18,3
3,59,1,"146","test",19,3
3,60,1,"26","test",20,3
3,61,1,"87","test",1,4
3,62,1,"18","test",2,4
3,63,1,"38","test",3,4
3,64,1,"65","test",4,4
3,65,1,"41","test",5,4
3,66,2,"25","test",6,4
3,67,1,"55","test",7,4
3,68,1,"105","test",8,4
3,69,1,"119","test",9,4
3,70,1,"36","test",10,4
3,71,2,"59","test",11,4
3,72,1,"78","test",12,4
3,73,1,"133","test",13,4
3,74,1,"129","check",14,4
3,75,1,"53","test",15,4
3,76,2,"19","test",16,4
3,77,1,"52","test",17,4
3,78,1,"106","test",18,4
3,79,1,"58","test",19,4
3,80,1,"148","check",20,4
3,81,2,"73","test",1,5
3,82,2,"16","test",2,5
3,83,1,"84","test",3,5
3,84,1,"109","test",4,5
3,85,1,"63","test",5,5
3,86,1,"54","test",6,5
3,87,1,"11","test",7,5
3,88,1,"30","test",8,5
3,89,1,"86","test",9,5
3,90,4,"29","check",10,5
3,91,1,"61","test",11,5
3,92,2,"148","check",12,5
3,93,1,"100","test",13,5
3,94,1,"1","test",14,5
3,95,1,"9","test",15,5
3,96,1,"62","test",16,5
3,97,2,"129","check",17,5
3,98,1,"60","test",18,5
3,99,3,"125","check",19,5
3,100,1,"117","test",20,5
3,101,1,"123","test",1,6
3,102,1,"132","test",2,6
3,103,1,"23","test",3,6
3,104,3,"129","check",4,6
3,105,1,"120","test",5,6
3,106,2,"92","test",6,6
3,107,1,"28","test",7,6
3,108,1,"95","test",8,6
3,109,1,"2","test",9,6
3,110,1,"12","test",10,6
3,111,1,"102","test",11,6
3,112,1,"56","test",12,6
3,113,1,"51","test",13,6
3,114,2,"55","test",14,6
3,115,1,"10","test",15,6
3,116,1,"112","test",16,6
3,117,1,"42","test",17,6
3,118,2,"7","check",18,6
3,119,1,"67","test",19,6
3,120,1,"20","test",20,6
3,121,2,"63","test",1,7
3,122,1,"116","test",2,7
3,123,4,"125","check",3,7
3,124,1,"66","test",4,7
3,125,2,"118","test",5,7
3,126,1,"47","test",6,7
3,127,1,"136","test",7,7
3,128,1,"128","test",8,7
3,129,1,"137","test",9,7
3,130,1,"64","test",10,7
3,131,1,"24","test",11,7
3,132,1,"88","test",12,7
3,133,2,"2","test",13,7
3,134,1,"68","test",14,7
3,135,1,"82","test",15,7
3,136,1,"33","test",16,7
3,137,1,"75","test",17,7
3,138,1,"45","test",18,7
3,139,1,"22","test",19,7
3,140,1,"130","test",20,7
3,141,1,"17","test",1,8
3,142,1,"27","test",2,8
3,143,2,"137","test",3,8
3,144,1,"91","test",4,8
3,145,1,"135","test",5,8
3,146,2,"10","test",6,8
3,147,1,"122","test",7,8
3,148,3,"148","check",8,8
3,149,1,"3","test",9,8
3,150,4,"129","check",10,8
3,151,2,"50","test",11,8
3,152,1,"149","test",12,8
3,153,1,"69","test",13,8
3,154,1,"101","test",14,8
3,155,3,"7","check",15,8
3,156,1,"108","test",16,8
3,157,2,"24","test",17,8
3,158,1,"114","test",18,8
3,159,5,"29","check",19,8
3,160,1,"37","test",20,8
3,161,1,"46","test",1,9
3,162,4,"148","check",2,9
3,163,1,"144","test",3,9
3,164,2,"35","test",4,9
3,165,4,"7","check",5,9
3,166,1,"96","test",6,9
3,167,5,"129","check",7,9
3,168,1,"74","test",8,9
3,169,2,"28","test",9,9
3,170,1,"32","test",10,9
3,171,1,"44","test",11,9
3,172,5,"125","check",12,9
3,173,1,"90","test",13,9
3,174,5,"148","check",14,9
3,175,1,"40","test",15,9
3,176,2,"27","test",16,9
3,177,1,"94","test",17,9
3,178,1,"71","test",18,9
3,179,2,"33","test",19,9
3,180,1,"85","test",20,9
3,181,2,"75","test",1,10
3,182,1,"21","test",2,10
3,183,1,"77","test",3,10
3,184,1,"4","test",4,10
3,185,1,"138","test",5,10
3,186,2,"130","test",6,10
3,187,1,"142","test",7,10
3,188,2,"83","test",8,10
3,189,1,"107","test",9,10
3,190,1,"49","test",10,10
3,191,5,"7","check",11,10
3,192,1,"5","test",12,10
3,193,2,"115","test",13,10
3,194,1,"134","test",14,10
3,195,2,"89","test",15,10
3,196,1,"15","test",16,10
3,197,2,"30","test",17,10
3,198,2,"51","test",18,10
3,199,1,"113","test",19,10
3,200,2,"38","test",20,10
