"STUDY","DESIGN","LOC","GEN","REP","BLOCK","GYPH","ROW","COLUMN","FIELDROW","FIELDCOLUMN"
"Study1","Alpha-Lattice",1,16,2,4,4.61,3,4,3,10
"Study1","Alpha-Lattice",1,17,2,4,3.87,4,4,4,10
"Study1","Alpha-Lattice",1,29,2,4,4.28,5,4,5,10
"Study1","Alpha-Lattice",1,34,2,4,0.19,6,4,6,10
"Study1","Alpha-Lattice",1,35,2,4,4.34,7,4,7,10
"Study1","Alpha-Lattice",1,40,2,4,5,8,4,8,10
"Study1","Alpha-Lattice",1,43,2,4,4.1,9,4,9,10
"Study1","Alpha-Lattice",1,53,2,4,3.87,10,4,10,10
"Study1","Alpha-Lattice",1,10,2,5,2.71,1,5,1,11
"Study1","Alpha-Lattice",1,14,2,5,5.07,2,5,2,11
"Study1","Alpha-Lattice",1,22,2,5,3.98,3,5,3,11
"Study1","Alpha-Lattice",1,23,2,5,4.68,4,5,4,11
"Study1","Alpha-Lattice",1,27,2,5,4.33,5,5,5,11
"Study1","Alpha-Lattice",1,32,2,5,4.06,6,5,6,11
"Study1","Alpha-Lattice",1,44,2,5,4.72,7,5,7,11
"Study1","Alpha-Lattice",1,45,2,5,4.05,8,5,8,11
"Study1","Alpha-Lattice",1,52,2,5,4.01,9,5,9,11
"Study1","Alpha-Lattice",1,54,2,5,4.88,10,5,10,11
"Study1","Alpha-Lattice",1,5,2,6,4.16,1,6,1,12
"Study1","Alpha-Lattice",1,6,2,6,3.49,2,6,2,12
"Study1","Alpha-Lattice",1,7,2,6,4.57,3,6,3,12
"Study1","Alpha-Lattice",1,9,2,6,4.69,4,6,4,12
"Study1","Alpha-Lattice",1,12,2,6,4.39,5,6,5,12
"Study1","Alpha-Lattice",1,15,2,6,5.01,6,6,6,12
"Study1","Alpha-Lattice",1,19,2,6,4.69,7,6,7,12
"Study1","Alpha-Lattice",1,31,2,6,4.06,8,6,8,12
"Study1","Alpha-Lattice",1,41,2,6,5.17,9,6,9,12
"Study1","Alpha-Lattice",1,49,2,6,4.64,10,6,10,12
"Study1","Alpha-Lattice",1,10,3,1,3.2,1,1,1,13
"Study1","Alpha-Lattice",1,11,3,1,4.18,2,1,2,13
"Study1","Alpha-Lattice",1,13,3,1,3.8,3,1,3,13
"Study1","Alpha-Lattice",1,15,3,1,4.48,4,1,4,13
"Study1","Alpha-Lattice",1,28,3,1,4.5,5,1,5,13
"Study1","Alpha-Lattice",1,30,3,1,3.69,6,1,6,13
"Study1","Alpha-Lattice",1,40,3,1,5.89,7,1,7,13
"Study1","Alpha-Lattice",1,46,3,1,4.24,8,1,8,13
"Study1","Alpha-Lattice",1,58,3,1,4.74,9,1,9,13
"Study1","Alpha-Lattice",1,59,3,1,4.05,10,1,10,13
"Study1","Alpha-Lattice",1,5,3,2,4.46,1,2,1,14
"Study1","Alpha-Lattice",1,6,3,2,5.16,2,2,2,14
"Study1","Alpha-Lattice",1,20,3,2,4.07,3,2,3,14
"Study1","Alpha-Lattice",1,26,3,2,3.34,4,2,4,14
"Study1","Alpha-Lattice",1,29,3,2,3.91,5,2,5,14
"Study1","Alpha-Lattice",1,32,3,2,4.02,6,2,6,14
"Study1","Alpha-Lattice",1,43,3,2,4.25,7,2,7,14
"Study1","Alpha-Lattice",1,45,3,2,3.31,8,2,8,14
"Study1","Alpha-Lattice",1,52,3,2,3.8,9,2,9,14
"Study1","Alpha-Lattice",1,54,3,2,4.7,10,2,10,14
"Study1","Alpha-Lattice",1,60,3,3,5.88,1,3,1,15
"Study1","Alpha-Lattice",1,8,3,3,5.64,2,3,2,15
"Study1","Alpha-Lattice",1,14,3,3,4.14,3,3,3,15
"Study1","Alpha-Lattice",1,17,3,3,4.95,4,3,4,15
"Study1","Alpha-Lattice",1,31,3,3,4.07,5,3,5,15
"Study1","Alpha-Lattice",1,36,3,3,3.73,6,3,6,15
"Study1","Alpha-Lattice",1,38,3,3,4.82,7,3,7,15
"Study1","Alpha-Lattice",1,41,3,3,5.61,8,3,8,15
"Study1","Alpha-Lattice",1,42,3,3,5.31,9,3,9,15
"Study1","Alpha-Lattice",1,48,3,3,4.25,10,3,10,15
"Study1","Alpha-Lattice",1,1,3,4,4.69,1,4,1,16
"Study1","Alpha-Lattice",1,2,3,4,4.21,2,4,2,16
"Study1","Alpha-Lattice",1,7,3,4,4.91,3,4,3,16
"Study1","Alpha-Lattice",1,18,3,4,4.4,4,4,4,16
"Study1","Alpha-Lattice",1,23,3,4,4.7,5,4,5,16
"Study1","Alpha-Lattice",1,25,3,4,4.49,6,4,6,16
"Study1","Alpha-Lattice",1,27,3,4,4.73,7,4,7,16
"Study1","Alpha-Lattice",1,35,3,4,4.98,8,4,8,16
"Study1","Alpha-Lattice",1,39,3,4,4.86,9,4,9,16
"Study1","Alpha-Lattice",1,55,3,4,4.9,10,4,10,16
"Study1","Alpha-Lattice",1,3,3,5,5.16,1,5,1,17
"Study1","Alpha-Lattice",1,4,3,5,4.43,2,5,2,17
"Study1","Alpha-Lattice",1,16,3,5,5.47,3,5,3,17
"Study1","Alpha-Lattice",1,24,3,5,4.37,4,5,4,17
"Study1","Alpha-Lattice",1,33,3,5,4.34,5,5,5,17
"Study1","Alpha-Lattice",1,34,3,5,4.91,6,5,6,17
"Study1","Alpha-Lattice",1,47,3,5,4.71,7,5,7,17
"Study1","Alpha-Lattice",1,49,3,5,2.4,8,5,8,17
"Study1","Alpha-Lattice",1,53,3,5,4.72,9,5,9,17
"Study1","Alpha-Lattice",1,56,3,5,4.76,10,5,10,17
"Study1","Alpha-Lattice",1,57,3,6,4.48,1,6,1,18
"Study1","Alpha-Lattice",1,9,3,6,4.41,2,6,2,18
"Study1","Alpha-Lattice",1,12,3,6,4.33,3,6,3,18
"Study1","Alpha-Lattice",1,19,3,6,4.13,4,6,4,18
"Study1","Alpha-Lattice",1,21,3,6,4.15,5,6,5,18
"Study1","Alpha-Lattice",1,22,3,6,5.23,6,6,6,18
"Study1","Alpha-Lattice",1,37,3,6,4.36,7,6,7,18
"Study1","Alpha-Lattice",1,44,3,6,3.34,8,6,8,18
"Study1","Alpha-Lattice",1,50,3,6,5.19,9,6,9,18
"Study1","Alpha-Lattice",1,51,3,6,4.44,10,6,10,18
