,Trait,study,mgid,Designations,predicted.value,std.error,Reliability
64,GYKGPHA,IRRIHQ_2018DS,3425772,IR12N165,8011.846361,766.9299772,0.457260617
65,GYKGPHA,IRRIHQ_2018DS,4228888,IR14N153,7794.509223,795.1877728,0.421390516
66,GYKGPHA,IRRIHQ_2018DS,2696701,IR10N271,7645.276881,794.7334537,0.418333906
67,GYKGPHA,IRRIHQ_2018DS,1192189,IR77080-B-34-3,8211.36521,689.3020682,0.541989467
68,GYKGPHA,IRRIHQ_2018DS,4193129,IR14F717,7649.118509,551.9170548,0.708774287
69,GYKGPHA,IRRIHQ_2018DS,2972722,IR11A341,7708.012062,729.5913038,0.510395763
70,GYKGPHA,IRRIHQ_2018DS,4027390,IR95781-15-1-1-4,8410.820692,744.0831192,0.489593927
71,GYKGPHA,IRRIHQ_2018DS,300440051,IR96465-B-BGY 372-103,6099.231734,795.9678363,0.405954367
72,GYKGPHA,IRRIHQ_2018DS,300100227,IR103783-B-B-6-2,7670.678756,699.0676223,0.551379714
73,GYKGPHA,IRRIHQ_2018DS,2652391,IR83381-B-B-137-3,8465.372048,752.2749198,0.470684423
74,GYKGPHA,IRRIHQ_2018DS,1161410,IR74371-46-1-1,5585.829959,676.3496431,0.571564025
75,GYKGPHA,IRRIHQ_2018DS,300100036,IR103410-B-B-2-3,7557.786224,778.0094365,0.442116012
76,GYKGPHA,IRRIHQ_2018DS,3638786,IR91648-B-289-B ,6253.658746,553.2136663,0.71977125
77,GYKGPHA,IRRIHQ_2018DS,300719368,IR117826-B-6-1-1-3,7570.237747,627.2329185,0.641203784
78,GYKGPHA,IRRIHQ_2018DS,4474307,IR15D120,7011.575502,799.6062388,0.414672294
79,GYKGPHA,IRRIHQ_2018DS,2652531,IR09L226,7688.930539,684.1268453,0.561372074
80,GYKGPHA,IRRIHQ_2018DS,3771803,IR13L188,7713.739381,594.3719214,0.677835404
81,GYKGPHA,IRRIHQ_2018DS,4140037,IR87959-6-2-3-1-2-BAY B-CMU 1,7426.389932,774.6402555,0.453917143
82,GYKGPHA,IRRIHQ_2018DS,300224531,IR16L1499,8396.120562,711.8273888,0.536027383
83,GYKGPHA,IRRIHQ_2018DS,300134060,IR15T1473,7749.737071,791.6371207,0.422071452
84,GYKGPHA,IRRIHQ_2018DS,2451117,IR09A235,8074.589,750.524404,0.483016481
85,GYKGPHA,IRRIHQ_2018DS,300718527,IR117820-B-46-3-1-4,7469.000663,747.5131475,0.490413564
86,GYKGPHA,IRRIHQ_2018DS,300038124,IR100120-B-B-B-B-11,7929.308163,768.4254897,0.455141871
87,GYKGPHA,IRRIHQ_2018DS,4453095,IR92831-22-BAY 2-1-CMU 1,7204.981527,778.1067713,0.442134881
88,GYKGPHA,IRRIHQ_2018DS,1111689,IR03A262,7665.458223,729.3978244,0.504232114
89,GYKGPHA,IRRIHQ_2018DS,300718893,IR117823-B-43-1-1-1,8399.605177,651.874516,0.612395558
90,GYKGPHA,IRRIHQ_2018DS,707118,BRRI dhan 47,8497.700932,767.6565858,0.433761957
91,GYKGPHA,IRRIHQ_2018DS,300296708,IR108005-B-B RGA-B RGA-1,7848.150005,755.6278281,0.464641556
92,GYKGPHA,IRRIHQ_2018DS,3040989,IR86385-24-3-1-B,7617.075133,625.1186508,0.639926788
93,GYKGPHA,IRRIHQ_2018DS,300719160,IR118172-B-2-3-1-4,7685.738809,686.9119778,0.567389161
94,GYKGPHA,IRRIHQ_2018DS,3853388,IR91648-B-20-B-3-1,6311.8882,557.153563,0.717473435
95,GYKGPHA,IRRIHQ_2018DS,2697451,IR10N134,8765.593,774.6629946,0.451234147
96,GYKGPHA,IRRIHQ_2018DS,3592078,IR13N134,7561.975567,797.878947,0.412947578
97,GYKGPHA,IRRIHQ_2018DS,300099979,IR103404-B-B-1-3,7682.299582,786.6126572,0.429706189
98,GYKGPHA,IRRIHQ_2018DS,4229275,IR93339:39-B-6-5-B-B-B-47,8237.240394,778.6712599,0.448257709
99,GYKGPHA,IRRIHQ_2018DS,1133741,IR03A568,8315.281227,775.580429,0.44576798
100,GYKGPHA,IRRIHQ_2018DS,300133165,IR15T1476,6912.136473,780.2292719,0.445557161
101,GYKGPHA,IRRIHQ_2018DS,300099976,IR103401-B-B-3-3,6800.767812,762.6930871,0.463770792
102,GYKGPHA,IRRIHQ_2018DS,4193103,IR14F711,7702.318891,552.3358825,0.70833212
103,GYKGPHA,IRRIHQ_2018DS,300437396,IR16F1079,7324.472969,749.2696224,0.486047498
104,GYKGPHA,IRRIHQ_2018DS,3592044,IR13N131,7593.780691,722.9316685,0.519155987
105,GYKGPHA,IRRIHQ_2018DS,3272808,IR12N135,7718.481077,802.3666234,0.405946418
106,GYKGPHA,IRRIHQ_2018DS,1635226,IR79913-B-176-B-4,6091.935423,771.1133597,0.445244353
107,GYKGPHA,IRRIHQ_2018DS,1401800,IR05N341,8023.392975,771.6609917,0.451631927
108,GYKGPHA,IRRIHQ_2018DS,4220423,IR105469:72-18-2,6444.11302,751.9628152,0.468751018
109,GYKGPHA,IRRIHQ_2018DS,2434116,OM4900,7857.565865,745.431255,0.427121873
110,GYKGPHA,IRRIHQ_2018DS,3041160,IR86385-276-2-2-B,7340.247645,625.9881882,0.638924371
111,GYKGPHA,IRRIHQ_2018DS,3874531,IR93346:1-B-13-7-6-1RGA-2RGA-1-B,7270.477583,798.707238,0.420023809
112,GYKGPHA,IRRIHQ_2018DS,300223871,IR16L1419,7725.516255,701.8469095,0.545588701
113,GYKGPHA,IRRIHQ_2018DS,300589996,IR108040-B-B-B-4-B-B,8213.719101,775.0012191,0.450514787
114,GYKGPHA,IRRIHQ_2018DS,300437489,IR16F1172,7661.673455,782.8624842,0.439139868
115,GYKGPHA,IRRIHQ_2018DS,300100240,IR103785-B-B-1-3,7080.972953,746.0195733,0.488429237
116,GYKGPHA,IRRIHQ_2018DS,3425923,IR12A173,7640.841447,784.5687242,0.432008427
117,GYKGPHA,IRRIHQ_2018DS,300100298,IR103791-B-B-3-1,7286.703097,717.4710782,0.526630272
118,GYKGPHA,IRRIHQ_2018DS,300437378,IR16F1061,7435.753864,710.9887349,0.537822126
119,GYKGPHA,IRRIHQ_2018DS,4275465,IR14L362,7920.702953,737.6533642,0.498156972
120,GYKGPHA,IRRIHQ_2018DS,300100191,IR103780-B-B-6-2,7636.597024,762.1224139,0.464653376
121,GYKGPHA,IRRIHQ_2018DS,300100396,IR103802-B-B-2-3,8105.579883,745.0774772,0.489872974
122,GYKGPHA,IRRIHQ_2018DS,94801,IRRI 123,7485.483339,635.241944,0.628451049
123,GYKGPHA,IRRIHQ_2018DS,3771609,IR92522-45-3-1-4,7026.666264,775.2678467,0.445395417
124,GYKGPHA,IRRIHQ_2018DS,1855984,IR06N188,7316.17842,784.8009248,0.423528814
125,GYKGPHA,IRRIHQ_2018DS,3425965,IR12A329,8628.966613,706.3588849,0.540480162
126,GYKGPHA,IRRIHQ_2018DS,300718433,IR117826-B-43-1-2-5,7516.635833,627.2329185,0.641203784
127,GYKGPHA,IRRIHQ_2018DS,300718760,IR118166-B-14-2-1-2,6182.705825,783.1866755,0.436586933
128,GYKGPHA,IRRIHQ_2018DS,300718376,IR118172-B-56-2-1-3,7791.19305,687.2893339,0.566913719
129,GYKGPHA,IRRIHQ_2018DS,4275035,IR14L331,7633.975808,706.5986009,0.539988787
130,GYKGPHA,IRRIHQ_2018DS,4689025,PR44517-10-2-1-B,7204.901819,799.7496706,0.40029605
131,GYKGPHA,IRRIHQ_2018DS,300589943,IR108043-B-B-B-6-B-B,7323.59542,726.7780802,0.516768346
132,GYKGPHA,IRRIHQ_2018DS,4194510,IR14F703,7745.468998,552.3358825,0.70833212
133,GYKGPHA,IRRIHQ_2018DS,300100256,IR103787-B-B-1-1,7738.193318,758.2729037,0.47093976
134,GYKGPHA,IRRIHQ_2018DS,2158291,IR79971-B-227-B-B,5500.744651,739.0864021,0.487824036
135,GYKGPHA,IRRIHQ_2018DS,4689013,PR42071-14-2-2-2,7269.197681,799.558806,0.400582261
136,GYKGPHA,IRRIHQ_2018DS,3658875,IR13A107,7808.093444,751.8271032,0.479211263
137,GYKGPHA,IRRIHQ_2018DS,1847260,SWARNA-SUB1,5990.550309,500.3079363,0.758098011
138,GYKGPHA,IRRIHQ_2018DS,300437350,IR16F1033,7104.039442,652.5601848,0.611366701
139,GYKGPHA,IRRIHQ_2018DS,4229236,IR93339:29-B-7-7-B-B-B-16,8352.142071,777.7983851,0.449493999
140,GYKGPHA,IRRIHQ_2018DS,300133075,IR15T1319,7356.053622,729.2037686,0.513884005
141,GYKGPHA,IRRIHQ_2018DS,1838118,NSIC 2016 RC 468,7661.686759,776.5669952,0.434559871
142,GYKGPHA,IRRIHQ_2018DS,300133971,IR15T1462,7010.76686,784.2365077,0.432933113
143,GYKGPHA,IRRIHQ_2018DS,144974,IR54447-3B-10-2,7607.015319,788.0722467,0.400674745
144,GYKGPHA,IRRIHQ_2018DS,300719317,IR118174-B-1-1-1-2,7044.68484,753.4341663,0.4763659
145,GYKGPHA,IRRIHQ_2018DS,4194537,IR14F707,7734.532647,552.2159069,0.708458816
146,GYKGPHA,IRRIHQ_2018DS,300350892,IR108175-B-22-AJY 3-B-1,6983.54634,798.9947291,0.411329012
147,GYKGPHA,IRRIHQ_2018DS,2162177,BINA dhan 8,7397.089631,776.1771339,0.435127467
148,GYKGPHA,IRRIHQ_2018DS,300719100,IR118167-B-16-1-1-4,6418.41038,785.0482671,0.433620038
149,GYKGPHA,IRRIHQ_2018DS,4278014,IR14L586,8193.475925,770.3800884,0.453057369
150,GYKGPHA,IRRIHQ_2018DS,4452548,IR100692-AJY 5-1-AJY 1,7363.490212,748.4106586,0.476605143
151,GYKGPHA,IRRIHQ_2018DS,3427099,IR12N240,8213.94471,801.215933,0.407649085
152,GYKGPHA,IRRIHQ_2018DS,300719024,IR118170-B-18-1-1-3,6942.411121,698.9885632,0.551166905
153,GYKGPHA,IRRIHQ_2018DS,300159488,IR15L1153,6970.780529,774.9791323,0.445808416
154,GYKGPHA,IRRIHQ_2018DS,4395302,IR15A1410,7228.010033,709.9503481,0.515490046
155,GYKGPHA,IRRIHQ_2018DS,300719756,IR117821-B-23-1-1-3,7192.81821,747.433913,0.490521588
156,GYKGPHA,IRRIHQ_2018DS,2524949,IR09A130,7816.014889,664.8603176,0.59468324
157,GYKGPHA,IRRIHQ_2018DS,300100073,IR103414-B-B-6-1,8260.908615,768.9688979,0.454543365
158,GYKGPHA,IRRIHQ_2018DS,300125440,IR15T1303,7149.84449,778.7539366,0.445131905
159,GYKGPHA,IRRIHQ_2018DS,300099901,IR103390-B-B-2-3,7161.367826,788.8876865,0.426875472
160,GYKGPHA,IRRIHQ_2018DS,4276956,IR14L395,8227.076078,762.2007346,0.464902367
161,GYKGPHA,IRRIHQ_2018DS,300719618,IR117824-B-50-1-2-5,8537.488374,692.4523396,0.562638538
162,GYKGPHA,IRRIHQ_2018DS,3088465,IR10F559,8219.859524,752.0117499,0.479591218
163,GYKGPHA,IRRIHQ_2018DS,2652454,IR83383-B-B-129-4,9072.51444,599.5902851,0.663996044
164,GYKGPHA,IRRIHQ_2018DS,3022947,IR11A282,9090.12934,739.5261691,0.496158075
165,GYKGPHA,IRRIHQ_2018DS,1161409,IR74371-70-1-1,5650.973477,683.0605219,0.563019788
166,GYKGPHA,IRRIHQ_2018DS,89840,Abhaya ,6891.269382,733.707953,0.354754219
167,GYKGPHA,IRRIHQ_2018DS,4392936,IR15A1479,7925.201842,728.7079685,0.504907414
168,GYKGPHA,IRRIHQ_2018DS,300437331,IR16F1014,6703.45813,756.0491246,0.476989966
169,GYKGPHA,IRRIHQ_2018DS,300100422,IR103805-B-B-2-2,7203.386338,764.4279146,0.461865402
170,GYKGPHA,IRRIHQ_2018DS,3427008,IR12A282,8208.279408,784.9523882,0.431452781
171,GYKGPHA,IRRIHQ_2018DS,3659123,IR13N115,8618.186519,781.2375061,0.437074004
172,GYKGPHA,IRRIHQ_2018DS,4193113,IR14F713,7546.507519,552.2159069,0.708458816
173,GYKGPHA,IRRIHQ_2018DS,4689031,PR44522-15-5-2-B,7215.605619,799.7496706,0.40029605
174,GYKGPHA,IRRIHQ_2018DS,300100114,IR103419-B-B-1-3,7096.322732,664.2893744,0.594749225
175,GYKGPHA,IRRIHQ_2018DS,3023573,IR11A306,8610.309228,741.1532299,0.495828067
176,GYKGPHA,IRRIHQ_2018DS,4609623,IR15A4029,7742.491333,546.9821585,0.724590633
177,GYKGPHA,IRRIHQ_2018DS,4229178,IR14A216,7029.281734,766.7823215,0.449895134
178,GYKGPHA,IRRIHQ_2018DS,4028089,IR14L245,7410.867694,758.5413308,0.471475228
179,GYKGPHA,IRRIHQ_2018DS,3946140,IR14L156,6247.528026,795.5295813,0.416393084
180,GYKGPHA,IRRIHQ_2018DS,2472088,IR09A220,7516.960284,732.4278754,0.506396583
181,GYKGPHA,IRRIHQ_2018DS,300099796,IR103377-B-B-3-3,7162.087275,785.3649099,0.431190398
182,GYKGPHA,IRRIHQ_2018DS,300294018,IR100097-B-B RGA-B RGA-8,7897.811259,718.860268,0.518945078
183,GYKGPHA,IRRIHQ_2018DS,300167153,IR103294-B-B-B-B-7,7515.821989,752.4540825,0.478279741
184,GYKGPHA,IRRIHQ_2018DS,300045463,IR15L1419,7182.077929,787.5501772,0.427683356
185,GYKGPHA,IRRIHQ_2018DS,4019170,SALT TOL SIN THWE LATT,7169.233876,794.4025958,0.417680654
186,GYKGPHA,IRRIHQ_2018DS,4608486,IR115838:5-5-5,7587.296347,782.8861857,0.433599117
187,GYKGPHA,IRRIHQ_2018DS,1960929,IR06A150,7596.509081,733.2624758,0.498029059
188,GYKGPHA,IRRIHQ_2018DS,3593039,IR13A153,7779.728547,723.2588468,0.519935869
189,GYKGPHA,IRRIHQ_2018DS,4029135,IR14L256,8130.469337,767.8927672,0.456873227
190,GYKGPHA,IRRIHQ_2018DS,300039577,IR99047-B-B-B-B-47,7903.106419,777.9402358,0.442611731
191,GYKGPHA,IRRIHQ_2018DS,300046424,IR15L1442,7247.141465,788.8998502,0.426289204
192,GYKGPHA,IRRIHQ_2018DS,2433533,IR09A228,7887.503877,683.3949855,0.574087055
193,GYKGPHA,IRRIHQ_2018DS,4270335,IR96321-1447-651-B-1-1-2,6258.714594,590.7164391,0.682633961
194,GYKGPHA,IRRIHQ_2018DS,300718959,IR118175-B-34-1-1-2,7476.404075,749.0223149,0.483033371
195,GYKGPHA,IRRIHQ_2018DS,4333583,IR97418-32-3-1-AJY 1-1,7162.956183,707.0508508,0.544758981
196,GYKGPHA,IRRIHQ_2018DS,300100230,IR103784-B-B-1-2,7811.001231,700.319527,0.54932127
197,GYKGPHA,IRRIHQ_2018DS,3592657,IR13N152,7972.149604,789.500286,0.425140111
198,GYKGPHA,IRRIHQ_2018DS,300589973,IR108042-B-B-B-4-B-B,8372.33829,779.3673682,0.444015832
199,GYKGPHA,IRRIHQ_2018DS,3082649,IR11L122,7620.173145,795.777597,0.415831273
200,GYKGPHA,IRRIHQ_2018DS,4510786,PR37541-43-3-2-2-2-1-2-3-B-3-1-1,7888.12032,768.5709971,0.463386634
201,GYKGPHA,IRRIHQ_2018DS,300589929,IR108028-B-B-B-1-B-B,7005.653139,681.3669866,0.575875032
202,GYKGPHA,IRRIHQ_2018DS,300099883,IR103388-B-B-2-3,8513.275079,717.0534865,0.526569043
203,GYKGPHA,IRRIHQ_2018DS,300100403,IR103803-B-B-2-1,7322.40693,736.1191844,0.500871787
204,GYKGPHA,IRRIHQ_2018DS,3946146,IR14L159,6981.296028,790.7083187,0.423293322
205,GYKGPHA,IRRIHQ_2018DS,300100320,IR103794-B-B-1-2,7776.641493,764.2725349,0.462232812
206,GYKGPHA,IRRIHQ_2018DS,1161411,IR74371-54-1-1,5656.894775,669.861233,0.579744807
207,GYKGPHA,IRRIHQ_2018DS,3041357,NSIC RC 184,7981.556872,798.9189701,0.401541229
208,GYKGPHA,IRRIHQ_2018DS,4536811,PIR-26>C0-2071-1-4-2-1,7954.409524,792.8094193,0.424580521
209,GYKGPHA,IRRIHQ_2018DS,2488348,IR82635-B-B-75-2,7146.977607,684.801687,0.568080084
210,GYKGPHA,IRRIHQ_2018DS,3658769,IR13N102,7782.761824,740.9402239,0.495462995
211,GYKGPHA,IRRIHQ_2018DS,300644467,IR108963:6-1-1-3,7252.297722,639.9440123,0.256031684
212,GYKGPHA,IRRIHQ_2018DS,300099924,IR103394-B-B-1-2,7450.451964,777.4328946,0.443669566
213,GYKGPHA,IRRIHQ_2018DS,300293456,IR99993-B-B RGA-B RGA-B RGA-1,7964.155089,710.2543701,0.536617944
214,GYKGPHA,IRRIHQ_2018DS,4688859,PR44420-36-4-3,7908.557297,792.2905579,0.391811549
215,GYKGPHA,IRRIHQ_2018DS,2697797,IR10N230,7811.099856,761.226331,0.46983779
216,GYKGPHA,IRRIHQ_2018DS,4274682,IR14L521,8196.564882,742.9895468,0.491933309
217,GYKGPHA,IRRIHQ_2018DS,3773687,IR13L337,7224.90107,719.275086,0.523379647
218,GYKGPHA,IRRIHQ_2018DS,2158489,IR79971-B-191-B-B,5050.04608,739.0864021,0.487824036
219,GYKGPHA,IRRIHQ_2018DS,2858722,IR10A231,7691.921517,782.7723402,0.439667873
220,GYKGPHA,IRRIHQ_2018DS,300589926,IR108038-B-B-B-2-B-B,8126.549849,756.5531023,0.476602403
221,GYKGPHA,IRRIHQ_2018DS,3806873,IR13A515,8017.608866,750.5233904,0.481360611
222,GYKGPHA,IRRIHQ_2018DS,2652472,IR83388-B-B-108-3,7826.260961,703.3016471,0.53675228
223,GYKGPHA,IRRIHQ_2018DS,1265595,KOMBOKA (IR05N221),7938.632736,768.4482227,0.447102702
224,GYKGPHA,IRRIHQ_2018DS,1320705,IR80312-6-B-3-2-B,7232.211836,715.7062437,0.532238787
225,GYKGPHA,IRRIHQ_2018DS,300719790,IR118165-B-9-2-1-2,7182.21293,681.8896602,0.572632443
226,GYKGPHA,IRRIHQ_2018DS,300718347,IR117823-B-38-3-2-3,8386.078913,651.874516,0.612395558
227,GYKGPHA,IRRIHQ_2018DS,2147653,IR81023-B-116-1-2,6696.399813,747.971706,0.475678928
228,GYKGPHA,IRRIHQ_2018DS,300589958,IR108048-B-B-B-6-B-B,7846.155392,708.1014013,0.541675563
229,GYKGPHA,IRRIHQ_2018DS,4732011,IR127155-1-22,6931.486371,647.3429391,0.59380869
230,GYKGPHA,IRRIHQ_2018DS,300100388,IR103801-B-B-3-1,7859.705731,761.4425362,0.465832674
231,GYKGPHA,IRRIHQ_2018DS,3158718,IR11N313,7507.360031,787.7705437,0.42761146
232,GYKGPHA,IRRIHQ_2018DS,3040955,IR86384-55-2-1-B,6950.822021,664.0456439,0.596427986
233,GYKGPHA,IRRIHQ_2018DS,1253961,IR04A428,8194.292228,706.9127558,0.534331372
234,GYKGPHA,IRRIHQ_2018DS,300099877,IR103387-B-B-3-3,8296.281637,719.846696,0.522873454
235,GYKGPHA,IRRIHQ_2018DS,1873891,NSIC RC 186,7773.314839,794.621113,0.407962836
236,GYKGPHA,IRRIHQ_2018DS,300718661,IR117826-B-3-2-2-3,7544.31129,626.7937103,0.641706089
237,GYKGPHA,IRRIHQ_2018DS,300223874,IR16L1421,7816.016795,701.4642229,0.546084107
238,GYKGPHA,IRRIHQ_2018DS,2857055,NSIC RC 392,7202.424172,615.454489,0.655221181
239,GYKGPHA,IRRIHQ_2018DS,4289449,IR15M1289,7505.698646,794.1080686,0.414037231
240,GYKGPHA,IRRIHQ_2018DS,300100002,IR103406-B-B-3-2,7490.454474,792.9164003,0.420283428
241,GYKGPHA,IRRIHQ_2018DS,300099955,IR103399-B-B-2-3,7390.012953,771.2679045,0.454320884
242,GYKGPHA,IRRIHQ_2018DS,300437362,IR16F1045,7311.340493,728.7687842,0.514179624
243,GYKGPHA,IRRIHQ_2018DS,300589957,IR108028-B-B-B-4-B-B,6995.365502,681.3669866,0.575875032
244,GYKGPHA,IRRIHQ_2018DS,4228927,IR14A150,7706.308565,709.1346744,0.537594654
245,GYKGPHA,IRRIHQ_2018DS,3426973,IR12N231,8607.866219,790.87377,0.42284262
246,GYKGPHA,IRRIHQ_2018DS,4214820,IR99054-B-B-1,7725.131837,796.6618095,0.404918066
247,GYKGPHA,IRRIHQ_2018DS,4194599,IR14F690,7581.757482,551.9170548,0.708774287
248,GYKGPHA,IRRIHQ_2018DS,300159905,IR15L1222,7038.078061,648.7929478,0.611766935
249,GYKGPHA,IRRIHQ_2018DS,300100249,IR103786-B-B-1-3,8341.656317,779.3221274,0.440045381
250,GYKGPHA,IRRIHQ_2018DS,3853540,IR91648-B-117-B-1-1,6310.170546,557.1960036,0.717430391
